objectid,filename,title,format,subject,description,creator,photography,source,date,rightsstatement,rights,language,location,multiplecoins,rarity,approximatevalue
coin001,CoinBailiwickfBackgroundRemoved.png,Bailiwick of Jersey,png,Location,,Arnold Machin,States of Jersey,,1997,https://www.gov.je/pages/terms.aspx#anchor-1,"Copyright protected material may be reproduced free of charge in any format or medium for research, private study or for internal circulation within an organisation.",English,Bailiwick of Jersey,,,
coin002,CoinBailiwickbBackgroundRemoved.png,Bailiwick of Jersey,png,Monarch,,George Edward Kruger-Gray,States of Jersey,,1997,https://www.gov.je/pages/terms.aspx#anchor-1,"Copyright protected material may be reproduced free of charge in any format or medium for research, private study or for internal circulation within an organisation.",English,Bailiwick of Jersey,,,
coin003,CoinDictionaryfBackgroundRemoved.png,The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,png,Historical Event;Cultural Contribution,,Ian Rank-Broadley,The Royal Mint,,2005,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin004,CoinDictionarybBackgroundRemoved.png,The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,png,Monarch,,Tom Philips,The Royal Mint,,2005,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin005,CoinVC1fBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,Historical Event;Cultural Contribution,"Depicts the anniversary of the creation of the Victoria Cross. The VC is the highest decoration in the British military awards system. It was first introduced in 1856 by Queen Victoria for heroic acts in the Crimean War. The first recipient was Charles Davis Lucas on June 26, 1857, and the most recent recipient was Joshua Leakey in 2013. This award was groundbreaking, as it was created in part to keep pace with other European countries that gave awards regardless of social class or rank. This award was created to honor acts of gallantry, irrespective of length or merit of service. More than a century and a half after its creation it remains significant, representing true patriotism. (might make this bit longer)",Ian Rank-Broadley,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin006,CoinVC1bBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,Monarch,,Tom Cross,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin007,CoinVC2fBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,Historical Event;Cultural Contribution,,Ian Rank-Broadley,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin008,CoinVC2bBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,Monarch,,Claire Aldridge,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin009,CoinGirlguidingfBackgroundRemoved.png,Celebrating 100 Years of Girlguiding UK,png,Historical Event;Cultural Contribution,,Ian Rank-Broadley,The Royal Mint,,2010,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin010,CoinGirlguidingbBackgroundRemoved.png,Celebrating 100 Years of Girlguiding UK,png,Monarch,,Jonathan Evans;Donna Hainan,The Royal Mint,,2010,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin011,CoinTableTennisfBackgroundRemoved.png,London 2012 - Table Tennis,png,Historical Event,,Ian Rank-Broadley,The Royal Mint,,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin012,CoinTableTennisbBackgroundRemoved.png,London 2012 - Table Tennis,png,Monarch,,Alan Linsdell,The Royal Mint,,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin013,CoinCommonwealthGamesfBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games,png,Historical Event,,Ian Rank-Broadley,The Royal Mint,,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin014,CoinCommonwealthGamesbBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games,png,Monarch,,Alex Loudon;Dan Flashman,The Royal Mint,,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
